Time,MPD::
240,MPD::
Time,MPD::
2016-12-12 21:45:00,514.0
2016-12-13 01:45:00,446.0
2016-12-13 05:45:00,353.0
2016-12-13 09:45:00,255.0
2016-12-13 13:45:00,74.0
2016-12-13 17:45:00,55.0
2016-12-13 21:45:00,107.0
2016-12-14 01:45:00,157.0
2016-12-14 05:45:00,218.0
2016-12-14 09:45:00,314.0
2016-12-14 13:45:00,525.0
2016-12-14 17:45:00,609.0
2016-12-14 21:45:00,578.0
2016-12-15 01:45:00,362.0
2016-12-15 05:45:00,91.0
2016-12-15 09:45:00,57.0
2016-12-15 13:45:00,34.0
2016-12-15 17:45:00,22.0
2016-12-15 21:45:00,23.0
2016-12-16 01:45:00,9.0
2016-12-16 05:45:00,14.0
2016-12-16 09:45:00,29.0
2016-12-16 13:45:00,65.0
2016-12-16 17:45:00,157.0
2016-12-16 21:45:00,343.0
2016-12-17 01:45:00,406.0
2016-12-17 05:45:00,464.0
2016-12-17 09:45:00,927.0
2016-12-17 13:45:00,465.0
2016-12-17 17:45:00,347.0
2016-12-17 21:45:00,203.0
2016-12-18 01:45:00,285.0
2016-12-18 05:45:00,185.0
2016-12-18 09:45:00,319.0
2016-12-18 13:45:00,868.0
2016-12-18 17:45:00,1393.0
2016-12-18 21:45:00,1029.0
2016-12-19 01:45:00,573.0
2016-12-19 05:45:00,500.0
2016-12-19 09:45:00,722.0
2016-12-19 13:45:00,797.0
2016-12-19 17:45:00,909.0
2016-12-19 21:45:00,681.0
2016-12-20 01:45:00,337.0
2016-12-20 05:45:00,492.0
2016-12-20 09:45:00,533.0
2016-12-20 13:45:00,354.0
2016-12-20 17:45:00,194.0
2016-12-20 21:45:00,196.0
2016-12-21 01:45:00,142.0
2016-12-21 05:45:00,120.0
2016-12-21 09:45:00,81.0
2016-12-21 13:45:00,297.0
2016-12-21 17:45:00,1330.0
2016-12-21 21:45:00,1258.0
2016-12-22 01:45:00,545.0
2016-12-22 05:45:00,551.0
2016-12-22 09:45:00,482.0
2016-12-22 13:45:00,528.0
2016-12-22 17:45:00,472.0
2016-12-22 21:45:00,337.0
2016-12-23 01:45:00,232.0
2016-12-23 05:45:00,290.0
2016-12-23 09:45:00,340.0
