Time,MPD,LN-MPD
2014-6-11 10:30,1121,7.021976423
2014-6-11 14:30,1195,7.085901464
2014-6-11 18:30,1135,7.03438793
2014-6-11 22:30,1429,7.264730178
2014-6-12 2:30,1056,6.962243464
2014-6-12 6:30,1298,7.168579897
2014-6-12 10:30,1107,7.009408933
2014-6-12 14:30,1534,7.335633982
2014-6-12 18:30,1080,6.98471632
2014-6-12 22:30,1264,7.142036575
2014-6-13 2:30,811,6.698268054
2014-6-13 6:30,968,6.875232087
2014-6-13 10:30,1208,7.096721378
2014-6-13 14:30,1105,7.007600614
2014-6-13 18:30,955,6.86171134
2014-6-13 22:30,1114,7.01571242
2014-6-14 2:30,830,6.721425701
2014-6-14 6:30,862,6.759255271
2014-6-14 10:30,1053,6.959398512
2014-6-14 14:30,1492,7.307872781
2014-6-14 18:30,1525,7.329749689
2014-6-14 22:30,1326,7.189922171
2014-6-15 2:30,1022,6.929516771
2014-6-15 6:30,998,6.905753276
2014-6-15 10:30,1420,7.258412151
2014-6-15 14:30,1664,7.416979621
2014-6-15 18:30,1707,7.442492723
2014-6-15 22:30,1874,7.535830463
2014-6-16 2:30,1459,7.285506549
2014-6-16 6:30,1236,7.119635638
2014-6-16 10:30,2015,7.608374474
2014-6-16 14:30,1914,7.556950572
2014-6-16 18:30,1542,7.340835554
2014-6-16 22:30,1271,7.147559271
2014-6-17 2:30,858,6.754604099
2014-6-17 6:30,1029,6.936342736
2014-6-17 10:30,1042,6.948897222
2014-6-17 14:30,1107,7.009408933
2014-6-17 18:30,927,6.831953566
2014-6-17 22:30,1228,7.113142109
2014-6-18 2:30,1193,7.084226422
2014-6-18 6:30,1398,7.242797923
2014-6-18 10:30,1462,7.28756064
2014-6-18 14:30,1510,7.31986493
2014-6-18 18:30,1853,7.524561226
2014-6-18 22:30,1987,7.594381243
2014-6-19 2:30,1676,7.424165281
2014-6-19 6:30,1614,7.386470849
2014-6-19 10:30,1753,7.469083885
2014-6-19 14:30,1810,7.501082124
2014-6-19 18:30,1950,7.575584652
2014-6-19 22:30,1695,7.43543802
2014-6-20 2:30,1558,7.351158226
2014-6-20 6:30,1561,7.353081921
2014-6-20 10:30,1302,7.171656823
2014-6-20 14:30,1795,7.492760301
2014-6-20 18:30,1282,7.156176637
2014-6-20 22:30,1179,7.072421901
2014-6-21 2:30,1159,7.055312843
2014-6-21 6:30,1107,7.009408933
2014-6-21 10:30,1272,7.148345744
2014-6-21 14:30,1543,7.341483852
2014-6-21 18:30,1621,7.390798522
2014-6-21 22:30,1389,7.236339343
2014-6-22 2:30,1219,7.105786129
2014-6-22 6:30,1506,7.317212408
2014-6-22 10:30,1014,6.921658184
2014-6-22 14:30,1170,7.064759028
2014-6-22 18:30,892,6.793466133
2014-6-22 22:30,766,6.64118217
2014-6-23 2:30,533,6.278521424
2014-6-23 6:30,974,6.881411304
2014-6-23 10:30,1085,6.989335266
2014-6-23 14:30,1117,7.018401799
2014-6-23 18:30,1039,6.946013991
2014-6-23 22:30,1314,7.180831199
2014-6-24 2:30,954,6.860663671
2014-6-24 6:30,912,6.81563999
2014-6-24 10:30,811,6.698268054
2014-6-24 14:30,1231,7.115582126
2014-6-24 18:30,835,6.727431725
2014-6-24 22:30,1132,7.031741259
2014-6-25 2:30,805,6.690842277
2014-6-25 6:30,1219,7.105786129
2014-6-25 10:30,1139,7.037905963
2014-6-25 14:30,1159,7.055312843
2014-6-25 18:30,1125,7.025538315
2014-6-25 22:30,998,6.905753276
2014-6-26 2:30,983,6.89060912
