Time,MPD,LN-MPD
240,MPD,LN-MPD
Time,MPD,LN-MPD
2016/11/7 21:45,769,6.64509097
2016/11/8 1:45,752,6.622736324
2016/11/8 5:45,453,6.115892125
2016/11/8 9:45,669,6.50578406
2016/11/8 13:45,1082,6.986566459
2016/11/8 17:45,638,6.458338283
2016/11/8 21:45,404,6.001414878
2016/11/9 1:45,388,5.96100534
2016/11/9 5:45,246,5.505331536
2016/11/9 9:45,186,5.225746674
2016/11/9 13:45,199,5.293304825
2016/11/9 17:45,228,5.429345629
2016/11/9 21:45,131,4.875197323
2016/11/10 1:45,72,4.276666119
2016/11/10 9:45,52,3.951243719
2016/11/10 13:45,47,3.850147602
2016/11/10 17:45,66,4.189654742
2016/11/10 21:45,81,4.394449155
2016/11/11 1:45,150,5.010635294
2016/11/11 5:45,205,5.323009979
2016/11/11 9:45,256,5.545177444
2016/11/11 13:45,306,5.723585102
2016/11/11 17:45,505,6.224558429
2016/11/11 21:45,641,6.463029457
2016/11/12 1:45,455,6.120297419
2016/11/12 5:45,273,5.609471795
2016/11/12 9:45,275,5.616771098
2016/11/12 13:45,536,6.284134161
2016/11/12 17:45,482,6.177944114
2016/11/12 21:45,453,6.115892125
2016/11/13 1:45,426,6.054439346
2016/11/13 5:45,446,6.100318952
2016/11/13 9:45,418,6.035481433
2016/11/13 13:45,462,6.135564891
2016/11/13 17:45,453,6.115892125
2016/11/13 21:45,442,6.091309882
2016/11/14 1:45,345,5.843544417
2016/11/14 5:45,221,5.398162702
2016/11/14 9:45,171,5.141663557
2016/11/14 13:45,193,5.262690189
2016/11/14 17:45,230,5.438079309
2016/11/14 21:45,155,5.043425117
2016/11/15 1:45,132,4.882801923
2016/11/15 5:45,86,4.454347296
2016/11/15 9:45,96,4.564348191
2016/11/15 13:45,99,4.59511985
2016/11/15 17:45,79,4.369447852
2016/11/15 21:45,131,4.875197323
2016/11/16 1:45,61,4.110873864
2016/11/16 5:45,15,2.708050201
2016/11/16 9:45,21,3.044522438
2016/11/16 13:45,10,2.302585093
2016/11/16 17:45,12,2.48490665
2016/11/16 21:45,20,2.995732274
2016/11/17 1:45,19,2.944438979
2016/11/17 5:45,21,3.044522438
2016/11/17 9:45,18,2.890371758
2016/11/17 13:45,29,3.36729583
2016/11/17 17:45,66,4.189654742
2016/11/17 21:45,68,4.219507705
2016/11/18 1:45,89,4.48863637
2016/11/18 5:45,95,4.553876892
2016/11/18 9:45,118,4.770684624
2016/11/18 13:45,175,5.164785974
2016/11/18 17:45,355,5.872117789
2016/11/18 21:45,424,6.049733455
2016/11/19 1:45,355,5.872117789
2016/11/19 5:45,621,6.431331082
2016/11/19 9:45,753,6.624065228
2016/11/19 13:45,405,6.003887067
2016/11/19 17:45,734,6.598509029
2016/11/19 21:45,519,6.251903883
2016/11/20 1:45,503,6.22059017
2016/11/20 5:45,762,6.635946556
2016/11/20 9:45,669,6.50578406
2016/11/20 13:45,959,6.865891075
2016/11/20 17:45,810,6.697034248
2016/11/20 21:45,854,6.749931194
2016/11/21 1:45,756,6.628041376
2016/11/21 5:45,1198,7.088408779
2016/11/21 9:45,684,6.527957918
2016/11/21 13:45,719,6.577861358
2016/11/21 17:45,768,6.643789733
2016/11/21 21:45,424,6.049733455
2016/11/22 1:45,432,6.068425588
2016/11/22 5:45,350,5.857933154
2016/11/22 9:45,490,6.194405391
2016/11/22 13:45,385,5.953243334
2016/11/22 17:45,288,5.66296048
2016/11/22 21:45,252,5.529429088
2016/11/23 1:45,138,4.927253685
2016/11/23 5:45,176,5.170483995
2016/11/23 9:45,210,5.347107531
2016/11/23 13:45,236,5.463831805
2016/11/23 17:45,247,5.509388337
2016/11/23 21:45,131,4.875197323
2016/11/24 1:45,94,4.543294782
2016/11/24 5:45,185,5.220355825
2016/11/24 9:45,346,5.846438775
2016/11/24 13:45,365,5.899897354
2016/11/24 17:45,421,6.042632834
2016/11/24 21:45,593,6.385194399
2016/11/25 1:45,556,6.320768294
2016/11/25 5:45,762,6.635946556
2016/11/25 9:45,794,6.677083461
